id;id_photo;id_survey;like_bool;anger;fear;disgust;sadness;happiness;surprise;neutral;valence;arousal;dominance
1;1754;1;1;0;0;0;0;0;0;5;3;1;2
2;1785;1;1;0;0;0;2;0;0;0;2;2;3
3;123;1;0;0;0;0;4;0;0;0;1;3;1
4;2315;1;0;0;0;0;2;0;0;0;2;1;3
5;1548;1;0;0;0;0;0;0;0;5;3;1;3
6;1055;1;1;0;0;0;0;3;0;0;4;3;4
7;1738;1;1;0;0;0;0;3;0;0;4;4;4
8;2922;1;1;0;0;0;0;0;0;3;3;2;4
9;318;1;0;0;0;0;2;0;0;0;2;2;2
10;948;1;0;0;0;0;0;0;0;3;3;2;2
11;986;1;0;3;0;0;0;0;0;0;2;4;4
12;1142;1;1;0;0;0;0;1;0;0;3;1;3
13;889;1;0;0;0;0;2;0;0;0;2;3;2
14;1059;1;1;0;0;0;0;4;0;0;5;3;3
15;1507;1;1;0;0;0;0;3;0;0;4;2;3
16;1778;2;1;0;0;0;1;0;0;3;3;2;1
17;379;2;0;3;4;0;4;0;0;0;1;3;2
18;342;2;0;4;0;5;5;0;0;0;1;2;3
19;1898;2;0;0;0;0;4;0;0;5;3;1;1
20;2121;2;1;0;0;0;0;4;0;0;5;1;2
21;2370;2;1;0;0;0;0;1;0;3;3;1;1
22;25;2;0;0;0;0;3;0;0;0;2;2;2
23;991;2;0;0;0;0;0;0;0;5;3;1;1
24;667;2;1;0;0;0;0;4;0;0;5;2;1
25;2234;2;0;0;0;0;0;0;0;3;3;1;1
26;544;2;1;0;0;0;0;2;0;5;4;1;1
27;1621;2;1;0;0;0;0;2;0;0;3;1;1
28;40;2;1;0;0;0;0;3;0;0;4;1;1
29;1872;2;1;0;0;0;2;0;0;0;3;1;1
30;2211;2;1;0;0;0;0;0;0;5;3;1;1
31;316;3;0;0;0;0;0;0;0;4;3;1;4
32;1569;3;1;0;0;1;0;2;0;4;4;3;3
33;748;3;1;0;0;0;0;3;0;2;5;3;2
34;2482;3;0;0;0;2;0;0;1;3;3;1;2
35;2144;3;1;0;0;0;0;3;2;0;4;2;3
36;1927;3;0;0;2;3;3;0;0;0;2;1;3
37;2184;3;1;0;0;0;0;4;0;0;4;3;3
38;235;3;0;0;5;4;0;0;3;0;1;2;4
39;1747;3;1;0;0;0;4;0;0;0;2;1;1
40;1407;3;1;0;0;0;0;2;0;4;4;2;1
41;2669;3;0;0;0;3;0;0;0;3;2;1;3
42;655;3;1;0;0;0;0;5;0;3;5;1;2
43;675;3;1;0;0;0;0;0;0;4;3;2;2
44;1295;3;1;0;0;0;0;4;2;0;4;3;3
45;169;3;0;0;5;4;3;0;5;0;1;3;4
46;2661;4;1;0;0;0;1;0;0;0;3;1;3
47;1250;4;0;0;4;0;0;0;0;0;1;3;2
48;1082;4;1;0;0;0;0;0;0;4;5;2;5
49;1710;4;1;0;0;0;0;3;0;0;5;3;5
50;2053;4;1;0;0;0;0;4;0;0;5;3;4
51;766;4;1;0;0;0;0;0;0;3;3;2;3
52;2901;4;1;0;0;0;0;2;3;0;4;3;4
53;2933;4;1;0;1;0;0;5;4;0;5;3;4
54;494;4;1;0;0;0;0;2;0;4;4;1;4
55;1665;4;1;0;0;0;0;2;0;4;5;2;4
56;2323;4;1;0;0;0;0;0;0;4;4;1;5
57;2073;4;1;0;0;0;0;0;3;0;5;3;5
58;1816;4;1;0;0;0;0;0;0;3;4;2;4
59;2395;4;1;0;0;0;0;2;3;0;5;3;5
60;1358;4;1;0;0;0;0;4;2;0;4;3;5
61;1717;5;1;0;0;0;0;0;0;3;4;2;3
62;2717;5;1;0;0;0;0;3;0;0;3;3;3
63;749;5;1;0;0;0;3;0;0;0;3;3;3
64;99;5;1;0;0;0;0;5;0;0;5;5;5
65;158;5;1;0;0;0;0;0;0;4;4;4;4
66;2642;5;1;0;0;0;0;0;3;0;3;3;3
67;1251;5;1;0;0;0;0;4;0;0;4;4;4
68;1725;5;1;0;0;0;0;0;4;0;4;4;4
69;2734;5;1;0;0;0;0;0;4;0;4;4;4
70;1686;5;1;0;0;0;0;0;0;3;3;3;3
71;193;5;1;0;3;0;0;0;0;0;4;4;4
72;2347;5;1;0;0;0;0;0;0;3;3;3;3
73;2067;5;1;0;0;0;0;0;3;0;3;3;3
74;498;5;1;0;0;0;0;0;3;0;3;3;3
75;2897;5;1;0;0;0;0;0;0;3;3;3;3
76;1730;6;1;0;0;0;0;3;0;0;5;2;5
77;1308;6;1;0;0;0;0;3;0;0;4;2;5
78;3054;6;1;0;0;0;3;0;0;0;4;3;4
79;1442;6;1;0;0;0;0;2;4;0;4;4;5
80;546;6;1;0;0;0;0;0;0;3;4;2;4
81;1251;6;1;0;0;0;0;3;0;0;4;2;4
82;698;6;1;0;3;0;0;0;0;0;3;2;3
83;2143;6;1;0;0;0;0;0;0;3;3;2;3
84;681;6;1;0;0;0;0;0;3;0;3;2;3
85;2940;6;1;0;0;0;0;4;3;0;3;2;3
86;1513;6;1;0;0;0;0;3;0;0;3;2;3
87;2581;6;1;0;0;0;0;4;0;0;3;2;3
88;2416;6;1;0;0;0;3;0;0;0;4;2;4
89;1287;6;1;0;0;0;0;4;0;0;3;2;3
90;1627;6;1;0;0;0;0;0;0;3;3;2;3
91;2358;7;1;0;0;0;0;0;0;5;3;3;3
92;1461;7;1;0;0;0;0;5;0;0;3;3;3
93;2789;7;1;0;0;0;0;0;0;1;3;3;3
94;611;7;1;0;0;0;0;5;0;0;3;3;3
95;2877;7;0;0;0;5;0;0;0;0;1;1;1
96;429;7;1;0;0;0;0;5;0;0;3;3;3
97;2046;7;0;0;0;0;5;0;0;0;1;1;1
98;2691;7;0;0;0;0;5;0;0;0;1;1;1
99;461;7;1;0;0;0;0;5;0;0;5;5;5
100;2095;7;1;0;0;0;0;5;0;0;4;4;4
101;1104;7;1;0;0;0;0;5;0;0;5;5;5
102;2098;7;1;0;5;0;0;0;0;0;3;3;3
103;1771;7;0;0;0;0;5;0;0;0;1;1;1
104;2195;7;1;0;0;0;0;5;0;0;5;5;5
105;1751;7;0;0;0;0;5;0;0;0;3;3;3
106;1763;8;0;0;0;0;4;0;0;0;2;1;1
107;2839;8;1;0;0;0;0;0;0;4;3;1;2
108;426;8;1;0;0;0;0;3;0;0;3;2;2
109;750;8;0;0;4;0;0;0;0;0;2;1;1
110;2024;8;0;0;0;0;4;0;0;0;1;1;1
111;1237;8;1;0;0;0;0;3;0;0;2;2;2
112;2313;8;1;0;0;0;0;0;4;0;3;3;2
113;1925;8;0;5;0;0;0;0;0;0;3;1;1
114;2516;8;0;0;0;0;4;0;0;0;3;1;1
115;354;8;0;5;0;0;0;0;0;0;1;1;1
116;835;8;0;0;0;0;5;0;0;0;1;1;1
117;2560;8;0;0;0;0;0;0;0;3;2;2;2
118;38;8;1;0;0;0;0;4;0;0;5;4;4
119;1078;8;1;0;0;0;0;4;0;0;5;3;3
