id_survey,Board games,Cinema,Cooking,Crafts,Cycling,Dancing,Drawing,Gardening,Hiking,Music,Painting,Photography,Reading,Running,Sculpture,Swimming,Theater,Video games
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
48,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
57,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
58,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
63,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
64,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
