id,age,populational_aff,gender,education,city,country_residence,date_survey,consented,hobby_other
1,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-10 15:32:17,1,
2,25 - 30,White/Caucasian,F,Master’s Degree,Viseu,Portugal,2024-04-10 15:35:48,1,
3,18 - 24,White/Caucasian,F,Master’s Degree,Santarém,Portugal,2024-04-10 16:09:37,1,
4,18 - 24,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,2024-04-10 20:37:30,1,
5,41 - 50,Latino,M,Middle School,Santarém,Portugal,2024-04-10 20:42:25,1,
6,25 - 30,White/Caucasian,M,Bachelor’s Degree,Kabul,Afghanistan,2024-04-10 20:44:49,1,
7,41 - 50,White/Caucasian,F,High School,Santarém,Portugal,2024-04-10 20:45:40,1,
8,51 - 60,Asian,F,High School,Lisboa,Portugal,2024-04-10 20:51:20,1,
9,41 - 50,Latino,M,Bachelor’s Degree,Évora,Portugal,2024-04-10 20:59:11,1,
10,61 - 70,White/Caucasian,F,High School,Setúbal,Portugal,2024-04-10 21:00:47,1,
11,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-10 21:03:35,1,
12,41 - 50,White/Caucasian,F,Bachelor’s Degree,Faro,Portugal,2024-04-10 21:03:45,1,
13,31 - 40,White/Caucasian,F,High School,Setúbal,Portugal,2024-04-10 21:05:43,1,
14,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-10 21:39:29,1,
15,51 - 60,White/Caucasian,F,High School,Faro,Portugal,2024-04-10 22:08:42,1,
16,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-10 22:09:34,1,
17,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-10 22:25:32,1,
18,61 - 70,Latino,F,Master’s Degree,Setúbal,Portugal,2024-04-10 23:06:08,1,
19,41 - 50,White/Caucasian,F,High School,Flanders,Belgium,2024-04-11 04:44:27,1,
20,41 - 50,White/Caucasian,F,Bachelor’s Degree,Santarém,Portugal,2024-04-11 05:48:30,1,Outro
21,51 - 60,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-11 06:02:48,1,
22,31 - 40,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-11 06:04:32,1,Viajar
23,41 - 50,White/Caucasian,F,High School,Lisboa,Portugal,2024-04-11 07:43:34,1,
24,31 - 40,White/Caucasian,F,High School,Setúbal,Portugal,2024-04-11 09:01:31,1,
25,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-11 12:22:10,1,
26,18 - 24,Asian,M,Primary School or Less,Eastern Cape,South Africa,2024-04-11 15:01:13,1,
27,31 - 40,Hispanic,M,Bachelor’s Degree,Lisboa,Portugal,2024-04-11 15:17:23,1,Colecionar Antiguidades
28,18 - 24,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,2024-04-11 19:02:11,1,
29,41 - 50,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-04-11 20:04:29,1,Viajar
30,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2024-04-11 20:25:50,1,Estudar
31,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2024-04-11 22:46:45,1,
32,18 - 24,Black,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-12 07:38:39,1,
33,41 - 50,White/Caucasian,F,High School,Lisboa,Portugal,2024-04-12 10:50:09,1,
34,18 - 24,White/Caucasian,F,Master’s Degree,Santarém,Portugal,2024-04-12 13:18:20,1,
35,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-04-12 14:48:59,1,
36,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-04-12 14:57:02,1,
37,61 - 70,White/Caucasian,F,High School,Lisboa,Portugal,2024-04-12 19:43:40,1,
38,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-01 17:27:54,1,
39,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-06 13:58:37,1,ténis
40,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-06 15:46:11,1,
41,51 - 60,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-05-07 10:16:33,1,
42,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-05-07 14:07:24,1,
43,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-07 15:25:08,1,Ginásio
44,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-07 15:27:46,1,Futebol
45,18 - 24,White/Caucasian,M,Bachelor’s Degree,Évora,Portugal,2024-05-07 15:28:08,1,Futebol
46,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-05-07 15:28:46,1,
47,18 - 24,White/Caucasian,M,Bachelor’s Degree,Leiria,Portugal,2024-05-07 15:29:01,1,
48,41 - 50,Prefer not to disclose,F,Doctorate Degree,Lisboa,Portugal,2024-05-07 15:29:44,1,
49,25 - 30,White/Caucasian,M,Master’s Degree,Setúbal,Portugal,2024-05-07 15:30:21,1,
50,25 - 30,White/Caucasian,F,Bachelor’s Degree,Leiria,Portugal,2024-05-07 15:30:54,1,
51,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-07 15:31:11,1,Padel
52,25 - 30,White/Caucasian,M,Master’s Degree,Faro,Portugal,2024-05-07 16:16:30,1,
53,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-07 16:57:15,1,
54,18 - 24,Black,F,Bachelor’s Degree,Madeira,Portugal,2024-05-07 16:58:44,1,
55,18 - 24,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,2024-05-07 17:02:02,1,
56,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-07 20:55:07,1,
57,25 - 30,Black,F,Master’s Degree,Lisboa,Portugal,2024-05-07 21:29:37,1,
58,25 - 30,White/Caucasian,F,High School,Lisboa,Portugal,2024-05-07 21:30:17,1,
59,18 - 24,White/Caucasian,M,Master’s Degree,Setúbal,Portugal,2024-05-08 20:06:14,1,
60,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-05-09 16:06:51,1,Passear de Campervan
61,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-10 23:28:53,1,
62,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-05-15 13:35:45,1,
63,31 - 40,Black,F,Bachelor’s Degree,North Brabant,Netherlands,2024-05-15 13:36:51,1,
64,18 - 24,Prefer not to disclose,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-15 13:47:15,1,
65,31 - 40,White/Caucasian,M,Master’s Degree,North Brabant,Netherlands,2024-05-15 13:50:55,1,
66,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-15 15:09:27,1,
67,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-15 15:26:31,1,
68,18 - 24,Prefer not to disclose,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-15 15:47:15,1,Desporto
69,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-15 16:01:58,1,
70,71 - 80,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-05-15 16:43:37,1,
71,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-15 19:30:25,1,
72,18 - 24,White/Caucasian,F,Bachelor’s Degree,Santarém,Portugal,2024-05-15 20:03:42,1,
73,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-16 09:59:19,1,
74,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-05-16 11:42:33,1,
75,31 - 40,Black,F,Master’s Degree,Setúbal,Portugal,2024-05-16 12:23:07,1,
76,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-17 21:02:02,1,
77,41 - 50,Latino,F,High School,Lisboa,Portugal,2024-05-18 20:56:19,1,
78,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-05-20 14:41:39,1,
79,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-05-20 16:27:10,1,Desporto
80,18 - 24,White/Caucasian,M,Bachelor’s Degree,Leiria,Portugal,2024-05-21 09:29:22,1,
81,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-05-21 09:33:58,1,
82,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-05-21 10:17:28,1,
83,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-21 10:35:33,1,
84,18 - 24,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,2024-05-21 15:58:40,1,
85,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-21 17:27:54,1,
86,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-05-21 17:40:23,1,surf
87,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,2024-05-22 22:39:58,1,
88,18 - 24,White/Caucasian,F,Bachelor’s Degree,Santarém,Portugal,2024-05-23 12:42:06,1,Ginásio
89,18 - 24,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,2024-05-23 12:54:25,1,Ginásio
90,18 - 24,White/Caucasian,M,Master’s Degree,Santarém,Portugal,2024-05-23 16:16:35,1,Basquetebol
91,25 - 30,White/Caucasian,F,Master’s Degree,Faro,Portugal,2024-05-23 23:53:06,1,
92,31 - 40,Prefer not to disclose,M,Master’s Degree,Lisboa,Portugal,2024-05-24 11:29:59,1,
93,61 - 70,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-05-27 17:55:24,1,
94,25 - 30,White/Caucasian,M,Master’s Degree,Leiria,Portugal,2024-05-28 16:17:12,1,
95,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2024-05-28 16:27:11,1,
96,25 - 30,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,2024-05-28 16:27:12,1,
97,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-05-28 16:34:18,1,Futebol
98,71 - 80,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-28 17:28:23,1,
99,18 - 24,White/Caucasian,M,Master’s Degree,Santarém,Portugal,2024-05-28 18:01:21,1,
100,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-28 19:27:25,1,
101,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-05-28 19:54:28,1,
102,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-05-28 20:04:57,1,
103,41 - 50,Latino,M,Middle School,Lisboa,Portugal,2024-05-28 20:56:59,1,
104,61 - 70,Latino,F,High School,Lisboa,Portugal,2024-05-28 21:13:55,1,
105,61 - 70,Latino,F,Master’s Degree,Lisboa,Portugal,2024-05-28 21:15:24,1,
