user_id,image_id,valence,arousal,dominance,rating,categorical_emotion
1,1754,3,1,2,1,Neutral
1,1785,2,2,3,1,Sadness
1,123,1,3,1,0,Sadness
1,2315,2,1,3,0,Sadness
1,1548,3,1,3,0,Neutral
1,1055,4,3,4,1,Happiness
1,1738,4,4,4,1,Happiness
1,2922,3,2,4,1,Neutral
1,318,2,2,2,0,Sadness
1,948,3,2,2,0,Neutral
1,986,2,4,4,0,Anger
1,1142,3,1,3,1,Happiness
1,889,2,3,2,0,Sadness
1,1059,5,3,3,1,Happiness
1,1507,4,2,3,1,Happiness
2,1778,3,2,1,1,Neutral
2,379,1,3,2,0,Sadness
2,342,1,2,3,0,Sadness
2,1898,3,1,1,0,Neutral
2,2121,5,1,2,1,Happiness
2,2370,3,1,1,1,Neutral
2,25,2,2,2,0,Sadness
2,991,3,1,1,0,Neutral
2,667,5,2,1,1,Happiness
2,2234,3,1,1,0,Neutral
2,544,4,1,1,1,Neutral
2,1621,3,1,1,1,Happiness
2,40,4,1,1,1,Happiness
2,1872,3,1,1,1,Sadness
2,2211,3,1,1,1,Neutral
3,316,3,1,4,0,Neutral
3,1569,4,3,3,1,Neutral
3,748,5,3,2,1,Happiness
3,2482,3,1,2,0,Neutral
3,2144,4,2,3,1,Happiness
3,1927,2,1,3,0,Sadness
3,2184,4,3,3,1,Happiness
3,235,1,2,4,0,Fear
3,1747,2,1,1,1,Sadness
3,1407,4,2,1,1,Neutral
3,2669,2,1,3,0,Disgust
3,655,5,1,2,1,Happiness
3,675,3,2,2,1,Neutral
3,1295,4,3,3,1,Happiness
3,169,1,3,4,0,Fear
4,2661,3,1,3,1,Sadness
4,1250,1,3,2,0,Fear
4,1082,5,2,5,1,Neutral
4,1710,5,3,5,1,Happiness
4,2053,5,3,4,1,Happiness
4,766,3,2,3,1,Neutral
4,2901,4,3,4,1,Surprise
4,2933,5,3,4,1,Happiness
4,494,4,1,4,1,Neutral
4,1665,5,2,4,1,Neutral
4,2323,4,1,5,1,Neutral
4,2073,5,3,5,1,Surprise
4,1816,4,2,4,1,Neutral
4,2395,5,3,5,1,Surprise
4,1358,4,3,5,1,Happiness
5,1717,4,2,3,1,Neutral
5,2717,3,3,3,1,Happiness
5,749,3,3,3,1,Sadness
5,99,5,5,5,1,Happiness
5,158,4,4,4,1,Neutral
5,2642,3,3,3,1,Surprise
5,1251,4,4,4,1,Happiness
5,1725,4,4,4,1,Surprise
5,2734,4,4,4,1,Surprise
5,1686,3,3,3,1,Neutral
5,193,4,4,4,1,Fear
5,2347,3,3,3,1,Neutral
5,2067,3,3,3,1,Surprise
5,498,3,3,3,1,Surprise
5,2897,3,3,3,1,Neutral
6,1730,5,2,5,1,Happiness
6,1308,4,2,5,1,Happiness
6,3054,4,3,4,1,Sadness
6,1442,4,4,5,1,Surprise
6,546,4,2,4,1,Neutral
6,1251,4,2,4,1,Happiness
6,698,3,2,3,1,Fear
6,2143,3,2,3,1,Neutral
6,681,3,2,3,1,Surprise
6,2940,3,2,3,1,Happiness
6,1513,3,2,3,1,Happiness
6,2581,3,2,3,1,Happiness
6,2416,4,2,4,1,Sadness
6,1287,3,2,3,1,Happiness
6,1627,3,2,3,1,Neutral
7,2358,3,3,3,1,Neutral
7,1461,3,3,3,1,Happiness
7,2789,3,3,3,1,Neutral
7,611,3,3,3,1,Happiness
7,2877,1,1,1,0,Disgust
7,429,3,3,3,1,Happiness
7,2046,1,1,1,0,Sadness
7,2691,1,1,1,0,Sadness
7,461,5,5,5,1,Happiness
7,2095,4,4,4,1,Happiness
7,1104,5,5,5,1,Happiness
7,2098,3,3,3,1,Fear
7,1771,1,1,1,0,Sadness
7,2195,5,5,5,1,Happiness
7,1751,3,3,3,0,Sadness
8,1763,2,1,1,0,Sadness
8,2839,3,1,2,1,Neutral
8,426,3,2,2,1,Happiness
8,750,2,1,1,0,Fear
8,2024,1,1,1,0,Sadness
8,1237,2,2,2,1,Happiness
8,2313,3,3,2,1,Surprise
8,1925,3,1,1,0,Anger
8,2516,3,1,1,0,Sadness
8,354,1,1,1,0,Anger
8,835,1,1,1,0,Sadness
8,2560,2,2,2,0,Neutral
8,38,5,4,4,1,Happiness
8,1078,5,3,3,1,Happiness
8,2003,1,1,1,0,Sadness
9,1247,5,4,4,1,Happiness
9,1415,5,4,4,1,Happiness
9,2780,3,1,2,0,Neutral
9,1300,5,4,4,1,Happiness
9,2193,1,1,2,0,Sadness
9,2677,1,1,2,0,Sadness
9,1839,4,3,4,1,Happiness
9,1543,3,2,2,1,Neutral
9,2387,3,1,2,1,Surprise
9,1984,1,1,3,1,Sadness
9,1657,3,3,5,1,Surprise
9,3018,3,1,2,1,Neutral
9,2668,2,2,2,1,Sadness
9,1712,3,4,5,1,Happiness
9,484,5,4,4,1,Happiness
10,380,5,1,3,0,Disgust
10,155,3,1,3,0,Sadness
10,2925,1,4,4,1,Sadness
10,2892,3,4,5,1,Fear
10,310,3,4,5,1,Happiness
10,2894,3,4,5,1,Fear
10,2738,3,4,4,1,Happiness
10,14,3,5,5,1,Fear
10,732,3,3,3,1,Neutral
10,1780,3,1,1,0,Sadness
10,3059,4,3,3,0,Sadness
10,321,3,3,3,0,Neutral
10,1047,3,3,3,1,Happiness
10,55,4,4,5,1,Happiness
10,2372,3,3,3,1,Neutral
11,1681,5,1,4,1,Happiness
11,1802,3,1,1,0,Neutral
11,1255,1,1,1,1,Sadness
11,383,1,1,1,0,Sadness
11,1612,1,1,1,0,Neutral
11,1821,5,3,4,1,Happiness
11,3015,1,3,2,0,Sadness
11,1708,2,1,3,1,Neutral
11,2002,1,1,1,0,Sadness
11,2951,2,2,4,1,Neutral
11,2985,1,1,1,0,Neutral
11,2306,1,1,1,1,Neutral
11,1417,4,3,4,1,Happiness
11,2621,3,3,3,1,Neutral
11,2285,3,2,4,1,Happiness
12,2914,3,5,5,1,Neutral
12,1235,4,4,5,1,Happiness
12,1525,4,2,3,1,Sadness
12,400,4,2,5,1,Happiness
12,2896,5,4,4,0,Disgust
