fold,item,train_degree,embedding_norm
0,1,4,4.5082926750183105
0,2,9,3.5493767261505127
0,5,5,3.6612229347229004
0,6,3,3.691312789916992
0,8,2,4.455808639526367
0,11,3,4.6215925216674805
0,12,4,4.051610469818115
0,13,4,4.54818058013916
0,14,3,3.9917194843292236
0,20,2,3.233705520629883
0,22,4,3.8633975982666016
0,25,4,3.4427294731140137
0,30,4,3.595790147781372
0,31,3,4.1697611808776855
0,32,4,4.232126712799072
0,33,2,4.509105205535889
0,38,3,3.7072579860687256
0,39,7,3.8473191261291504
0,40,5,3.6856772899627686
0,44,4,4.00007438659668
0,46,4,3.4753801822662354
0,49,5,4.053496837615967
0,55,4,3.9350318908691406
0,58,3,3.8220224380493164
0,59,3,4.310367584228516
0,60,5,4.301212787628174
0,62,4,4.382922172546387
0,63,4,4.307060241699219
0,64,7,3.507791042327881
0,65,3,4.037177562713623
0,69,6,4.120312213897705
0,72,5,4.590179920196533
0,78,5,3.751368284225464
0,80,2,2.849292039871216
0,81,4,3.188703775405884
0,82,4,3.9774012565612793
0,89,4,3.7011470794677734
0,90,6,3.925624132156372
0,91,5,4.111311912536621
0,93,2,2.838379144668579
0,94,7,3.2966108322143555
0,95,4,3.5524134635925293
0,96,5,3.5345425605773926
0,97,5,4.150556564331055
0,98,4,3.7366068363189697
0,99,3,4.556716442108154
0,101,5,3.8284692764282227
0,103,4,3.927029609680176
0,104,3,3.860696315765381
0,105,4,3.89728045463562
0,106,3,3.7098121643066406
0,108,4,4.011136054992676
0,112,4,3.92197322845459
0,113,8,4.152726650238037
0,118,5,3.2996299266815186
0,121,4,4.193498611450195
0,122,4,4.297423362731934
0,123,5,4.117786407470703
0,127,3,3.5156280994415283
0,128,4,4.268795490264893
0,129,4,3.2966468334198
0,132,4,3.54945969581604
0,134,5,2.77085280418396
0,135,3,2.829540967941284
0,136,7,3.7347378730773926
0,137,4,3.905282974243164
0,140,4,2.8544466495513916
0,142,5,2.85440993309021
0,143,7,2.831937551498413
0,148,5,2.9587619304656982
0,149,5,2.833714723587036
0,155,4,3.8973217010498047
0,157,5,3.0293025970458984
0,158,1,2.983469009399414
0,164,5,3.157158374786377
0,166,7,2.567309617996216
0,168,5,3.683042049407959
0,169,3,2.6365115642547607
0,173,4,3.624447822570801
0,174,2,3.986649513244629
0,176,5,3.9090006351470947
0,177,3,3.6546566486358643
0,183,6,4.276572227478027
0,184,5,3.309846878051758
0,185,3,3.495804786682129
0,186,7,3.9308762550354004
0,189,4,3.7365472316741943
0,191,6,3.5142619609832764
0,192,3,3.8282864093780518
0,193,4,4.0721917152404785
0,194,3,3.8423116207122803
0,195,6,3.7452239990234375
0,196,5,3.9497275352478027
0,198,6,3.246447801589966
0,201,3,3.902909994125366
0,203,4,4.203776836395264
0,205,5,4.067262649536133
0,206,4,3.8237624168395996
0,208,4,4.021237850189209
