fold,item,train_degree,embedding_norm
0,1,4,3.426680088043213
0,2,9,3.609198808670044
0,5,5,3.692427635192871
0,6,3,4.522647857666016
0,8,2,3.7753961086273193
0,11,3,4.084228515625
0,12,4,4.090035915374756
0,13,4,3.535186290740967
0,14,3,4.270890712738037
0,20,2,3.0770246982574463
0,22,4,3.563004970550537
0,25,4,4.020355224609375
0,30,4,3.834439516067505
0,31,3,3.5072782039642334
0,32,4,3.7188189029693604
0,33,2,4.102132320404053
0,38,3,4.098382949829102
0,39,7,4.135837078094482
0,40,5,3.9603614807128906
0,44,4,4.055469989776611
0,46,4,2.9535179138183594
0,49,5,4.276505470275879
0,55,4,4.277424335479736
0,58,3,3.726149797439575
0,59,3,3.9984240531921387
0,60,5,4.10463285446167
0,62,4,4.135798931121826
0,63,4,3.9988021850585938
0,64,7,3.554190158843994
0,65,3,3.794384002685547
0,69,6,3.8760461807250977
0,72,5,4.11037015914917
0,78,5,3.8064279556274414
0,80,2,2.8426427841186523
0,81,4,3.7957077026367188
0,82,4,3.6816189289093018
0,89,4,3.999366521835327
0,90,6,3.422947883605957
0,91,5,3.57169246673584
0,93,2,2.9968457221984863
0,94,7,3.5427029132843018
0,95,4,3.4468960762023926
0,96,5,3.995049238204956
0,97,5,4.182679176330566
0,98,4,3.714068651199341
0,99,3,3.94527006149292
0,101,5,3.1346898078918457
0,103,4,3.5601284503936768
0,104,3,3.5276105403900146
0,105,4,3.9853720664978027
0,106,3,3.234842300415039
0,108,4,4.161620140075684
0,112,4,3.7898318767547607
0,113,8,4.110618591308594
0,118,5,3.4267489910125732
0,121,4,4.323164463043213
0,122,4,4.296463966369629
0,123,5,3.9620273113250732
0,127,3,3.6382524967193604
0,128,4,3.6813316345214844
0,129,4,4.18202543258667
0,132,4,3.862685203552246
0,134,5,2.736612558364868
0,135,3,2.999760866165161
0,136,7,4.435283184051514
0,137,4,3.4701693058013916
0,140,4,2.859180450439453
0,142,5,3.0168609619140625
0,143,7,2.871979236602783
0,148,5,3.440187931060791
0,149,5,3.188953161239624
0,155,4,3.5353031158447266
0,157,5,2.8860201835632324
0,158,1,3.0677223205566406
0,164,5,3.1825807094573975
0,166,7,2.9724764823913574
0,168,5,4.0053324699401855
0,169,3,2.860663890838623
0,173,4,3.2460031509399414
0,174,2,3.6770315170288086
0,176,5,3.9302170276641846
0,177,3,3.7828423976898193
0,183,6,3.706754207611084
0,184,5,3.637256383895874
0,185,3,3.544224262237549
0,186,7,4.226833820343018
0,189,4,4.32620096206665
0,191,6,3.2727980613708496
0,192,3,3.9474234580993652
0,193,4,4.213995933532715
0,194,3,3.597137928009033
0,195,6,3.977238416671753
0,196,5,3.577564239501953
0,198,6,3.8945324420928955
0,201,3,3.733464479446411
0,203,4,4.021369934082031
0,205,5,4.385298252105713
0,206,4,3.837050199508667
0,208,4,3.8383312225341797
