trial,lr,weight_decay,n_layers,n_heads,ndcg@10
17,0.002948,1.9e-05,3,4,0.8487
7,0.003293,2e-05,3,8,0.8472
14,0.010667,1.4e-05,3,4,0.8362
9,0.008489,3.6e-05,3,4,0.8351
20,0.003649,2.3e-05,3,2,0.8348
12,0.002128,1.3e-05,3,4,0.833
4,0.005418,7.5e-05,2,8,0.8159
13,0.002719,0.000138,3,4,0.8152
19,0.001942,7.4e-05,2,4,0.7998
6,0.01077,3.2e-05,1,4,0.7947
15,0.019174,1e-05,3,2,0.7903
11,0.041322,0.000475,2,8,0.7825
18,0.002711,0.000199,3,8,0.7798
16,0.017834,0.000383,2,8,0.7786
3,0.025959,4.3e-05,1,8,0.7707
5,0.005955,0.002267,1,4,0.6696
8,0.001144,0.005345,1,2,0.6451
10,0.010371,0.005829,1,8,0.6425
1,0.004328,0.007114,3,2,0.6207
2,0.001255,0.003968,2,8,0.6116
