trial,lr,weight_decay,n_layers,n_heads,ndcg@10
19,0.017299,9.4e-05,2,4,0.852
12,0.012098,0.000129,2,4,0.8478
16,0.006201,9.2e-05,2,8,0.8413
4,0.005418,7.5e-05,2,8,0.8403
13,0.018414,0.000162,2,4,0.8361
9,0.008489,3.6e-05,3,4,0.8336
7,0.003293,2e-05,3,8,0.8226
18,0.04402,1.1e-05,3,8,0.8206
14,0.002395,0.000197,2,4,0.8109
6,0.01077,3.2e-05,1,4,0.7918
20,0.026021,0.000505,3,4,0.7905
11,0.041466,0.000263,2,8,0.7853
15,0.015959,0.000596,2,2,0.7757
3,0.025959,4.3e-05,1,8,0.7642
17,0.002297,0.000775,2,4,0.7593
1,0.004328,0.007114,3,2,0.7553
5,0.005955,0.002267,1,4,0.645
8,0.001144,0.005345,1,2,0.6176
10,0.010371,0.005829,1,8,0.6163
2,0.001255,0.003968,2,8,0.6082
