trial,lr,weight_decay,n_layers,ndcg@10
19,0.002518,0.009654,4,0.862
13,0.001089,0.007945,4,0.859
14,0.0013,0.009698,3,0.8582
1,0.001536,0.007114,3,0.8577
20,0.003017,0.000349,4,0.8573
4,0.004171,1.2e-05,4,0.8544
7,0.001824,7.5e-05,3,0.8539
16,0.00104,0.001174,4,0.8539
12,0.004609,1.3e-05,4,0.853
18,0.001324,0.001964,3,0.8529
11,0.008649,0.000475,4,0.8502
6,0.000866,8.2e-05,3,0.8486
3,0.000595,0.003968,3,0.8479
15,0.001177,0.00968,2,0.8471
9,0.00196,0.002267,1,0.8456
17,0.000518,0.003724,2,0.8445
8,0.000759,7.5e-05,2,0.8434
10,0.002333,0.000599,1,0.8429
2,0.003005,2.9e-05,1,0.8412
5,0.006053,4.3e-05,1,0.8312
