trial,lr,weight_decay,n_layers,mrr@10
19,0.00505,0.000186,4,0.8929
12,0.004609,1.3e-05,4,0.8925
18,0.001408,0.009145,3,0.8921
1,0.001536,0.007114,3,0.8918
4,0.004171,1.2e-05,4,0.8918
20,0.005773,0.000175,4,0.8915
13,0.001092,0.007953,4,0.891
7,0.001824,7.5e-05,3,0.8907
11,0.008649,0.000475,4,0.8903
16,0.008244,0.000212,4,0.89
14,0.004567,0.000379,3,0.8899
6,0.000866,8.2e-05,3,0.8897
3,0.000595,0.003968,3,0.8897
15,0.001322,0.001211,2,0.889
8,0.000759,7.5e-05,2,0.8878
17,0.003043,1.1e-05,2,0.8876
9,0.00196,0.002267,1,0.8854
2,0.003005,2.9e-05,1,0.8835
10,0.002333,0.000599,1,0.8832
5,0.006053,4.3e-05,1,0.8791
