fold,user,rank,item,score
0,1,1,1395,0.9366112947463989
0,1,2,1045,0.9360566735267639
0,1,3,2405,0.9358173608779907
0,1,4,1538,0.9321924448013306
0,1,5,1038,0.9321587085723877
0,1,6,1312,0.931881844997406
0,1,7,205,0.9296921491622925
0,1,8,474,0.9274758696556091
0,1,9,2740,0.9244241118431091
0,1,10,2219,0.924355149269104
0,2,1,327,0.9467926621437073
0,2,2,2323,0.9427310228347778
0,2,3,2684,0.942686140537262
0,2,4,2135,0.9370430111885071
0,2,5,321,0.9365563988685608
0,2,6,1833,0.9320290088653564
0,2,7,2678,0.9318546652793884
0,2,8,1725,0.9303562641143799
0,2,9,1980,0.929526686668396
0,2,10,453,0.9294033050537109
0,3,1,310,0.9445787668228149
0,3,2,732,0.9401645660400391
0,3,3,1802,0.9238706827163696
0,3,4,1342,0.9203320145606995
0,3,5,2162,0.9033730030059814
0,3,6,2713,0.9031471014022827
0,3,7,724,0.8957162499427795
0,3,8,890,0.8952204585075378
0,3,9,629,0.8923357725143433
0,3,10,1708,0.8789085745811462
0,4,1,354,0.9689558744430542
0,4,2,2030,0.9669210910797119
0,4,3,1007,0.9629179239273071
0,4,4,2286,0.9487124085426331
0,4,5,990,0.9486433267593384
0,4,6,1757,0.9469367265701294
0,4,7,2143,0.9456748962402344
0,4,8,1302,0.9453344941139221
0,4,9,3032,0.9437459707260132
0,4,10,2135,0.9423365592956543
0,7,1,732,0.9236961007118225
0,7,2,310,0.9115220904350281
0,7,3,1342,0.8974842429161072
0,7,4,1802,0.8956027626991272
0,7,5,2162,0.8894409537315369
0,7,6,1522,0.8750107288360596
0,7,7,724,0.8553773164749146
0,7,8,890,0.8530986309051514
0,7,9,2876,0.8428882956504822
0,7,10,2259,0.8402397036552429
0,9,1,2003,0.9788001179695129
0,9,2,1461,0.9695602655410767
0,9,3,835,0.9590440988540649
0,9,4,599,0.9574445486068726
0,9,5,2796,0.9497490525245667
0,9,6,1898,0.9450486302375793
0,9,7,2024,0.9446439743041992
0,9,8,366,0.9441022276878357
0,9,9,1424,0.9413127899169922
0,9,10,1478,0.9405620694160461
0,11,1,1525,0.9329196214675903
0,11,2,2660,0.9281002283096313
0,11,3,215,0.9189501404762268
0,11,4,1156,0.9124355316162109
0,11,5,2444,0.9124134182929993
0,11,6,2448,0.9108314514160156
0,11,7,379,0.9080216288566589
0,11,8,1100,0.902942419052124
0,11,9,2095,0.9021977782249451
0,11,10,1427,0.9011919498443604
0,12,1,1708,0.9194117188453674
0,12,2,629,0.910094678401947
0,12,3,2713,0.9035848379135132
0,12,4,611,0.8996542096138
0,12,5,310,0.8964375257492065
0,12,6,732,0.8914225697517395
0,12,7,2660,0.8719594478607178
0,12,8,1342,0.8685296773910522
0,12,9,1156,0.866865336894989
0,12,10,1802,0.8585538268089294
0,13,1,2896,0.9293618202209473
0,13,2,1588,0.9246888160705566
0,13,3,2412,0.9190762042999268
0,13,4,634,0.9002670049667358
0,13,5,2303,0.898823618888855
0,13,6,689,0.8920670747756958
0,13,7,1197,0.8915716409683228
0,13,8,2073,0.8788371086120605
0,13,9,2920,0.8788220882415771
0,13,10,2234,0.8704679608345032
0,14,1,2660,0.9230469465255737
0,14,2,732,0.9203568696975708
0,14,3,310,0.9166469573974609
0,14,4,1525,0.9053472280502319
0,14,5,1708,0.9036494493484497
0,14,6,402,0.8863742351531982
0,14,7,1802,0.8830902576446533
0,14,8,629,0.8784542679786682
0,14,9,1100,0.8738594055175781
0,14,10,2444,0.8736304640769958
0,15,1,1267,0.9011030197143555
0,15,2,1645,0.8906629085540771
0,15,3,634,0.8780350089073181
0,15,4,426,0.8722735643386841
0,15,5,2412,0.8594582080841064
0,15,6,1487,0.8476698398590088
0,15,7,177,0.8440622091293335
0,15,8,1683,0.841358482837677
0,15,9,1013,0.8410809636116028
0,15,10,724,0.8274868726730347
0,16,1,1979,0.9118330478668213
0,16,2,2684,0.9063969254493713
0,16,3,544,0.9038400650024414
0,16,4,174,0.8998332023620605
0,16,5,1047,0.8985339999198914
0,16,6,3032,0.8976064324378967
0,16,7,2985,0.8961806893348694
0,16,8,2095,0.8940085768699646
0,16,9,1710,0.8903768658638
0,16,10,1255,0.8891323804855347
0,17,1,2390,0.958128809928894
0,17,2,1104,0.9541833996772766
0,17,3,2368,0.9476710557937622
0,17,4,1311,0.9432305097579956
0,17,5,1821,0.9413514733314514
0,17,6,1047,0.9366124272346497
0,17,7,1710,0.9339202046394348
0,17,8,1279,0.9321619868278503
0,17,9,2560,0.9220389723777771
0,17,10,1341,0.9183340072631836
0,18,1,1979,0.9564740061759949
0,18,2,2286,0.9548385143280029
0,18,3,2135,0.9535297155380249
0,18,4,3032,0.9518304467201233
0,18,5,2030,0.949411928653717
0,18,6,1757,0.9448418617248535
0,18,7,354,0.9444571137428284
0,18,8,321,0.9435908794403076
0,18,9,1007,0.943331778049469
0,18,10,544,0.9423655271530151
0,21,1,1267,0.8886451125144958
0,21,2,1645,0.8825936913490295
0,21,3,426,0.8647623062133789
0,21,4,634,0.8316311836242676
0,21,5,1013,0.8260931968688965
0,21,6,2920,0.8220990300178528
0,21,7,689,0.8118963837623596
0,21,8,177,0.8094064593315125
0,21,9,724,0.8033120036125183
0,21,10,2713,0.7939333319664001
0,22,1,2713,0.9234331846237183
0,22,2,1267,0.9130830764770508
0,22,3,1645,0.9022688269615173
0,22,4,629,0.8989031910896301
0,22,5,1013,0.8983750939369202
0,22,6,611,0.881903886795044
0,22,7,177,0.866797924041748
0,22,8,426,0.8659777641296387
0,22,9,1044,0.8575588464736938
0,22,10,2621,0.8475632667541504
0,23,1,1267,0.9046890735626221
0,23,2,2713,0.9041947722434998
0,23,3,1645,0.8920729160308838
0,23,4,724,0.8874800205230713
0,23,5,1013,0.884400486946106
0,23,6,629,0.8745056390762329
0,23,7,177,0.8697906136512756
0,23,8,890,0.8655927777290344
0,23,9,611,0.8570274114608765
0,23,10,426,0.8552889823913574
0,24,1,2792,0.9384776949882507
0,24,2,3037,0.920552134513855
0,24,3,634,0.9131227731704712
0,24,4,2389,0.9053682684898376
0,24,5,1465,0.8988498449325562
0,24,6,1632,0.897794783115387
0,24,7,699,0.8946195244789124
0,24,8,1792,0.8907322883605957
0,24,9,2303,0.8856921792030334
0,24,10,2916,0.8806184530258179
0,25,1,1708,0.9451872706413269
0,25,2,1525,0.9331729412078857
0,25,3,611,0.9279628396034241
0,25,4,2713,0.9075702428817749
0,25,5,2660,0.8969701528549194
0,25,6,14,0.8915289044380188
0,25,7,1156,0.8906068205833435
0,25,8,2444,0.8905170559883118
0,25,9,310,0.8829733729362488
0,25,10,1427,0.8783115744590759
0,26,1,2412,0.8905202150344849
0,26,2,634,0.885454535484314
0,26,3,689,0.8815386295318604
0,26,4,2920,0.8779746294021606
0,26,5,2896,0.8749983906745911
0,26,6,2073,0.8552619218826294
0,26,7,1267,0.8481649160385132
0,26,8,1569,0.8451205492019653
0,26,9,1761,0.8450916409492493
0,26,10,177,0.8310964107513428
0,27,1,2660,0.9304438233375549
0,27,2,2985,0.919707179069519
0,27,3,2095,0.91744065284729
0,27,4,3032,0.9130943417549133
0,27,5,1979,0.9080988168716431
0,27,6,1100,0.9012010097503662
0,27,7,1757,0.9009848833084106
0,27,8,2286,0.9009296298027039
0,27,9,379,0.8979483842849731
0,27,10,174,0.8958348631858826
