fold,user,rank,item,score
0,1,1,1538,9.697668075561523
0,1,2,2053,9.682430267333984
0,1,3,2410,9.222495079040527
0,1,4,205,9.200638771057129
0,1,5,2481,9.18865966796875
0,1,6,474,9.167720794677734
0,1,7,1446,9.122819900512695
0,1,8,1279,9.10401439666748
0,1,9,32,9.10072135925293
0,1,10,551,9.08967399597168
0,2,1,767,9.408632278442383
0,2,2,453,9.394220352172852
0,2,3,1725,9.383136749267578
0,2,4,2238,9.186678886413574
0,2,5,1594,8.956432342529297
0,2,6,3016,8.910465240478516
0,2,7,298,8.839424133300781
0,2,8,2702,8.81961441040039
0,2,9,2286,8.800758361816406
0,2,10,1724,8.786311149597168
0,3,1,2882,9.86989974975586
0,3,2,1428,9.707426071166992
0,3,3,1628,9.568155288696289
0,3,4,2313,9.56454849243164
0,3,5,2618,9.532029151916504
0,3,6,271,9.386980056762695
0,3,7,2167,9.303018569946289
0,3,8,890,9.297618865966797
0,3,9,2162,9.255962371826172
0,3,10,1761,9.212442398071289
0,4,1,2789,10.023653984069824
0,4,2,390,9.932783126831055
0,4,3,453,9.90263557434082
0,4,4,1725,9.884244918823242
0,4,5,1302,9.850744247436523
0,4,6,767,9.649894714355469
0,4,7,2135,9.60805892944336
0,4,8,3041,9.594549179077148
0,4,9,1415,9.554113388061523
0,4,10,1724,9.548166275024414
0,7,1,1594,9.892682075500488
0,7,2,1429,9.629611015319824
0,7,3,2238,9.558101654052734
0,7,4,2390,9.4972505569458
0,7,5,3016,9.472816467285156
0,7,6,1047,9.41077995300293
0,7,7,2521,9.289473533630371
0,7,8,2719,9.227388381958008
0,7,9,2287,9.199667930603027
0,7,10,769,9.112899780273438
0,9,1,1730,10.714356422424316
0,9,2,98,10.50191879272461
0,9,3,6,10.364797592163086
0,9,4,1737,10.349720001220703
0,9,5,2067,10.31700325012207
0,9,6,1127,10.233230590820312
0,9,7,1428,10.231440544128418
0,9,8,461,10.14034366607666
0,9,9,2202,10.119514465332031
0,9,10,400,10.07349967956543
0,11,1,1642,9.58445930480957
0,11,2,2521,9.309768676757812
0,11,3,1047,9.126386642456055
0,11,4,556,9.055158615112305
0,11,5,769,9.031144142150879
0,11,6,1429,9.002923011779785
0,11,7,611,8.962182998657227
0,11,8,215,8.851261138916016
0,11,9,2702,8.829492568969727
0,11,10,767,8.717691421508789
0,12,1,769,7.816719055175781
0,12,2,1156,7.7230448722839355
0,12,3,1429,7.685240745544434
0,12,4,692,7.675622940063477
0,12,5,611,7.539278507232666
0,12,6,429,7.484327793121338
0,12,7,1708,7.473537445068359
0,12,8,1650,7.375724792480469
0,12,9,426,7.349923610687256
0,12,10,2719,7.2866902351379395
0,13,1,2409,10.502897262573242
0,13,2,2121,10.429718971252441
0,13,3,1644,10.247517585754395
0,13,4,560,10.237003326416016
0,13,5,118,10.195889472961426
0,13,6,186,10.086813926696777
0,13,7,780,9.948991775512695
0,13,8,2089,9.944745063781738
0,13,9,1721,9.912954330444336
0,13,10,2723,9.863224029541016
0,14,1,1642,8.900188446044922
0,14,2,2877,8.728530883789062
0,14,3,1724,8.67195987701416
0,14,4,1415,8.483567237854004
0,14,5,1047,8.40872573852539
0,14,6,2702,8.352787017822266
0,14,7,1104,8.345748901367188
0,14,8,767,8.328953742980957
0,14,9,769,8.296305656433105
0,14,10,2095,8.187362670898438
0,15,1,1683,9.316680908203125
0,15,2,1487,9.143604278564453
0,15,3,415,9.006879806518555
0,15,4,1645,8.854561805725098
0,15,5,1267,8.841106414794922
0,15,6,271,8.759593963623047
0,15,7,2713,8.756218910217285
0,15,8,429,8.748580932617188
0,15,9,2144,8.728192329406738
0,15,10,2159,8.681517601013184
0,16,1,767,9.219046592712402
0,16,2,1594,8.836281776428223
0,16,3,2238,8.824970245361328
0,16,4,1104,8.80055046081543
0,16,5,2390,8.781757354736328
0,16,6,1047,8.742348670959473
0,16,7,1724,8.643046379089355
0,16,8,990,8.597452163696289
0,16,9,2521,8.50196361541748
0,16,10,2702,8.452729225158691
0,17,1,1104,8.990546226501465
0,17,2,1594,8.948199272155762
0,17,3,2390,8.701488494873047
0,17,4,2238,8.652313232421875
0,17,5,2287,8.549508094787598
0,17,6,1047,8.539121627807617
0,17,7,767,8.47628402709961
0,17,8,3016,8.421465873718262
0,17,9,2719,8.416986465454102
0,17,10,1429,8.360173225402832
0,18,1,2877,9.608394622802734
0,18,2,1712,9.589899063110352
0,18,3,1642,9.497472763061523
0,18,4,1104,9.487541198730469
0,18,5,1415,9.467613220214844
0,18,6,1724,9.430097579956055
0,18,7,1341,9.38355827331543
0,18,8,1812,9.305025100708008
0,18,9,2719,9.196346282958984
0,18,10,2095,9.104269027709961
0,21,1,1487,8.137784004211426
0,21,2,1111,8.124064445495605
0,21,3,1683,8.074531555175781
0,21,4,2144,7.833291530609131
0,21,5,1632,7.7495903968811035
0,21,6,2920,7.740273475646973
0,21,7,689,7.736566066741943
0,21,8,1465,7.717226028442383
0,21,9,1267,7.666500091552734
0,21,10,2916,7.6592302322387695
0,22,1,1156,9.006065368652344
0,22,2,2159,8.917738914489746
0,22,3,2713,8.65073299407959
0,22,4,629,8.61640739440918
0,22,5,1708,8.412239074707031
0,22,6,426,8.39407730102539
0,22,7,429,8.374835014343262
0,22,8,2920,8.371880531311035
0,22,9,1342,8.302523612976074
0,22,10,1650,8.28865909576416
0,23,1,1650,8.356882095336914
0,23,2,1156,8.291596412658691
0,23,3,692,8.159912109375
0,23,4,429,8.070014953613281
0,23,5,415,7.9974589347839355
0,23,6,2713,7.9895548820495605
0,23,7,2920,7.951173305511475
0,23,8,629,7.7894439697265625
0,23,9,689,7.773593902587891
0,23,10,1708,7.659295558929443
0,24,1,2409,8.017943382263184
0,24,2,2121,7.943846702575684
0,24,3,1111,7.66914176940918
0,24,4,2144,7.654902458190918
0,24,5,2723,7.497218132019043
0,24,6,2916,7.239786624908447
0,24,7,1744,7.235149383544922
0,24,8,2303,7.223520278930664
0,24,9,560,7.2081708908081055
0,24,10,584,7.155052185058594
0,25,1,2159,9.605020523071289
0,25,2,675,9.450517654418945
0,25,3,2143,9.148460388183594
0,25,4,1642,9.145968437194824
0,25,5,1156,9.126914024353027
0,25,6,426,9.106462478637695
0,25,7,1708,9.106332778930664
0,25,8,611,9.050420761108398
0,25,9,2095,9.02398681640625
0,25,10,769,9.01882553100586
0,26,1,1569,6.967116355895996
0,26,2,1365,6.8504252433776855
0,26,3,2073,6.655383110046387
0,26,4,271,6.6219658851623535
0,26,5,689,6.619349956512451
0,26,6,1197,6.617350101470947
0,26,7,1839,6.561038017272949
0,26,8,674,6.537029266357422
0,26,9,2303,6.389748573303223
0,26,10,2144,6.383749961853027
0,27,1,453,9.018725395202637
0,27,2,1725,9.004964828491211
0,27,3,2789,8.938607215881348
0,27,4,2135,8.735187530517578
0,27,5,2323,8.640652656555176
0,27,6,390,8.594858169555664
0,27,7,3041,8.551065444946289
0,27,8,1302,8.413311958312988
0,27,9,1007,8.378622055053711
0,27,10,544,8.24033260345459
0,28,1,1091,12.096229553222656
0,28,2,2111,12.08172607421875
0,28,3,1055,12.014680862426758
0,28,4,2742,12.005054473876953
0,28,5,1045,11.95028305053711
0,28,6,738,11.696952819824219
0,28,7,1502,11.581969261169434
0,28,8,1538,11.572952270507812
0,28,9,32,11.470125198364258
0,28,10,2405,11.454830169677734
0,29,1,1642,9.670812606811523
0,29,2,767,9.434022903442383
0,29,3,2877,9.256315231323242
0,29,4,1047,9.213933944702148
0,29,5,1724,9.153342247009277
0,29,6,2286,9.08161449432373
0,29,7,1302,9.02841567993164
0,29,8,2702,9.010923385620117
0,29,9,1748,9.003776550292969
0,29,10,2521,9.003268241882324
0,31,1,402,7.770259857177734
0,31,2,208,7.755998134613037
0,31,3,567,7.707705497741699
0,31,4,2302,7.703343391418457
0,31,5,1870,7.610118389129639
0,31,6,1335,7.546074390411377
0,31,7,2892,7.533053398132324
0,31,8,2727,7.503662109375
0,31,9,2285,7.484431266784668
0,31,10,2444,7.458775520324707
0,32,1,453,8.583210945129395
0,32,2,1725,8.570125579833984
0,32,3,123,7.936298370361328
0,32,4,767,7.9322099685668945
0,32,5,2789,7.860784530639648
0,32,6,2370,7.790536403656006
0,32,7,3041,7.731598854064941
0,32,8,1724,7.672904014587402
0,32,9,390,7.62450647354126
0,32,10,853,7.614436149597168
0,33,1,2287,9.006366729736328
0,33,2,953,8.82864761352539
0,33,3,1082,8.786443710327148
0,33,4,1495,8.766494750976562
0,33,5,1580,8.735509872436523
0,33,6,2372,8.64525318145752
0,33,7,1821,8.465476989746094
0,33,8,2238,8.404970169067383
0,33,9,1446,8.378796577453613
0,33,10,692,8.315993309020996
0,34,1,32,10.886865615844727
0,34,2,1300,10.556499481201172
0,34,3,1538,10.50611400604248
0,34,4,474,10.45901870727539
0,34,5,1055,10.424275398254395
0,34,6,2202,10.341104507446289
0,34,7,205,10.326519012451172
0,34,8,1872,10.311508178710938
0,34,9,1091,10.300970077514648
0,34,10,2211,10.289621353149414
0,35,1,2789,9.060125350952148
0,35,2,390,8.965612411499023
0,35,3,2135,8.73159408569336
0,35,4,453,8.728679656982422
0,35,5,2323,8.709096908569336
0,35,6,1725,8.7086181640625
0,35,7,3041,8.401724815368652
0,35,8,1980,8.380483627319336
0,35,9,667,8.374998092651367
0,35,10,1202,8.306196212768555
0,36,1,453,8.230441093444824
0,36,2,1725,8.217450141906738
0,36,3,2370,8.125893592834473
0,36,4,2238,8.013017654418945
0,36,5,2195,7.96573543548584
0,36,6,3016,7.934548377990723
0,36,7,2594,7.788650989532471
0,36,8,123,7.716305732727051
0,36,9,2901,7.607920169830322
0,36,10,1594,7.557991981506348
0,37,1,2882,9.606864929199219
0,37,2,890,9.522595405578613
0,37,3,1628,9.387707710266113
0,37,4,1342,9.366340637207031
0,37,5,724,9.359244346618652
0,37,6,2159,9.343210220336914
0,37,7,1428,9.297880172729492
0,37,8,2618,9.248377799987793
0,37,9,2143,9.24489974975586
0,37,10,2162,9.14558219909668
0,38,1,530,8.723737716674805
0,38,2,1246,8.69743537902832
0,38,3,1946,8.668506622314453
0,38,4,2502,8.646116256713867
0,38,5,1308,8.182095527648926
0,38,6,1665,8.178922653198242
0,38,7,2901,8.100717544555664
0,38,8,542,8.058365821838379
0,38,9,2191,8.002596855163574
0,38,10,2801,7.797547340393066
0,39,1,2074,9.575653076171875
0,39,2,1946,9.434813499450684
0,39,3,1246,9.383058547973633
0,39,4,2502,9.261579513549805
0,39,5,1327,9.057987213134766
0,39,6,2191,8.963762283325195
0,39,7,2801,8.94202995300293
0,39,8,2901,8.86144733428955
0,39,9,1665,8.680622100830078
0,39,10,998,8.531560897827148
0,40,1,2502,9.481675148010254
0,40,2,1246,9.421404838562012
0,40,3,1946,9.388628959655762
0,40,4,2901,8.897966384887695
0,40,5,542,8.871418952941895
0,40,6,1665,8.837959289550781
0,40,7,2191,8.704244613647461
0,40,8,40,8.620606422424316
0,40,9,2594,8.568628311157227
0,40,10,2801,8.445657730102539
0,42,1,1738,13.74465274810791
0,42,2,1417,13.076802253723145
0,42,3,390,13.05162239074707
0,42,4,655,12.605713844299316
0,42,5,1550,12.535083770751953
0,42,6,2933,12.07829761505127
0,42,7,1513,12.074085235595703
0,42,8,1980,11.855731964111328
0,42,9,2695,11.773319244384766
0,42,10,2789,11.584245681762695
0,43,1,471,11.223772048950195
0,43,2,1417,10.825936317443848
0,43,3,655,10.491243362426758
0,43,4,1550,10.441621780395508
0,43,5,1513,10.43794059753418
0,43,6,1980,10.377657890319824
0,43,7,2789,10.356842041015625
0,43,8,174,10.16964340209961
0,43,9,2323,9.742880821228027
0,43,10,2135,9.677408218383789
0,45,1,2273,10.750836372375488
0,45,2,655,10.553543090820312
0,45,3,1550,10.504190444946289
0,45,4,2789,10.452260971069336
0,45,5,1513,10.36827278137207
0,45,6,1980,10.263124465942383
0,45,7,174,10.188629150390625
0,45,8,2933,10.032384872436523
0,45,9,1151,9.943851470947266
0,45,10,1818,9.713417053222656
0,46,1,390,12.825239181518555
0,46,2,667,12.568765640258789
0,46,3,655,12.05227279663086
0,46,4,1550,11.983724594116211
0,46,5,2933,11.936018943786621
0,46,6,1513,11.495990753173828
0,46,7,2695,11.449151992797852
0,46,8,2114,11.41385555267334
0,46,9,2789,11.350042343139648
0,46,10,1980,11.313785552978516
0,47,1,2933,9.643969535827637
0,47,2,2114,9.437851905822754
0,47,3,2695,9.372937202453613
0,47,4,1335,9.241744041442871
0,47,5,567,9.173982620239258
0,47,6,667,9.164332389831543
0,47,7,2302,9.103378295898438
0,47,8,1691,9.097282409667969
0,47,9,655,9.02297306060791
0,47,10,1550,8.958605766296387
0,48,1,2789,11.724607467651367
0,48,2,2135,11.58584976196289
0,48,3,2323,11.24950122833252
0,48,4,1302,11.001691818237305
0,48,5,2533,10.921089172363281
0,48,6,1980,10.900099754333496
0,48,7,1202,10.889760971069336
0,48,8,1007,10.870840072631836
0,48,9,1966,10.856151580810547
0,48,10,1738,10.842812538146973
0,49,1,667,12.612251281738281
0,49,2,390,12.593314170837402
0,49,3,655,12.50208854675293
0,49,4,1550,12.429883003234863
0,49,5,1513,11.91409683227539
0,49,6,2933,11.822364807128906
0,49,7,1980,11.63375473022461
0,49,8,2695,11.619216918945312
0,49,9,174,11.204458236694336
0,49,10,2160,11.19839096069336
0,50,1,1417,12.389066696166992
0,50,2,1848,11.911166191101074
0,50,3,2933,11.782306671142578
0,50,4,655,11.600282669067383
0,50,5,1550,11.530927658081055
0,50,6,2114,11.391683578491211
0,50,7,2695,11.23029899597168
0,50,8,567,11.127999305725098
0,50,9,2789,11.063384056091309
0,50,10,1335,11.03866958618164
0,51,1,2273,10.397733688354492
0,51,2,655,10.206524848937988
0,51,3,1550,10.159575462341309
0,51,4,2789,10.111226081848145
0,51,5,1513,10.041136741638184
0,51,6,1980,9.950927734375
0,51,7,174,9.871211051940918
0,51,8,2933,9.641974449157715
0,51,9,1151,9.535526275634766
0,51,10,2695,9.327576637268066
0,52,1,551,9.689497947692871
0,52,2,2053,9.58702564239502
0,52,3,1821,9.390033721923828
0,52,4,1446,9.327613830566406
0,52,5,1055,9.279192924499512
0,52,6,1538,9.17030143737793
0,52,7,2481,9.114158630371094
0,52,8,480,9.083958625793457
0,52,9,1726,9.02883243560791
0,52,10,1567,8.995824813842773
0,53,1,551,10.055419921875
0,53,2,2053,10.020261764526367
0,53,3,480,9.86747932434082
0,53,4,1446,9.799660682678223
0,53,5,2481,9.70245361328125
0,53,6,1538,9.602588653564453
0,53,7,1055,9.550289154052734
0,53,8,953,9.497446060180664
0,53,9,1279,9.464624404907227
0,53,10,1726,9.423765182495117
0,54,1,551,10.169557571411133
0,54,2,480,10.097758293151855
0,54,3,2053,9.98969554901123
0,54,4,1446,9.845437049865723
0,54,5,953,9.821196556091309
0,54,6,2481,9.7398042678833
0,54,7,2706,9.593774795532227
0,54,8,1726,9.570988655090332
0,54,9,1055,9.493946075439453
0,54,10,1538,9.488500595092773
0,55,1,551,10.199901580810547
0,55,2,2053,9.822949409484863
0,55,3,1446,9.657437324523926
0,55,4,1055,9.656354904174805
0,55,5,1726,9.541360855102539
0,55,6,1669,9.503606796264648
0,55,7,1567,9.490583419799805
0,55,8,2706,9.44427490234375
0,55,9,2742,9.420345306396484
0,55,10,2353,9.383204460144043
0,56,1,2940,9.998714447021484
0,56,2,421,9.948447227478027
0,56,3,1424,9.75623893737793
0,56,4,2717,9.707181930541992
0,56,5,2313,9.63385009765625
0,56,6,1657,9.586607933044434
0,56,7,2668,9.439620971679688
0,56,8,599,9.377805709838867
0,56,9,210,9.366119384765625
0,56,10,2796,9.344411849975586
0,57,1,2940,9.704690933227539
0,57,2,421,9.68010139465332
0,57,3,1424,9.570133209228516
0,57,4,2717,9.490696907043457
0,57,5,599,9.444137573242188
0,57,6,2668,9.387933731079102
0,57,7,1127,9.370540618896484
0,57,8,1730,9.364611625671387
0,57,9,2796,9.364006042480469
0,57,10,1747,9.35344409942627
0,58,1,599,9.620641708374023
0,58,2,1127,9.461881637573242
0,58,3,1428,9.412291526794434
0,58,4,2447,9.3065185546875
0,58,5,1747,9.219060897827148
0,58,6,400,9.190471649169922
0,58,7,1737,9.116636276245117
0,58,8,1730,9.089927673339844
0,58,9,2796,8.978500366210938
0,58,10,98,8.92621898651123
0,59,1,2313,7.696700096130371
0,59,2,2167,7.567049026489258
0,59,3,1428,7.475363731384277
0,59,4,599,7.353424072265625
0,59,5,1435,7.256865501403809
0,59,6,1438,7.137972831726074
0,59,7,1839,7.113859176635742
