fold,user,rank,item,score
0,1,1,880,0.6926897168159485
0,1,2,2358,0.69073086977005
0,1,3,2024,0.685950517654419
0,1,4,2045,0.6825055480003357
0,1,5,1594,0.6748082637786865
0,1,6,2998,0.6464782357215881
0,1,7,2014,0.6433367133140564
0,1,8,2369,0.6385554671287537
0,1,9,2050,0.6340738534927368
0,1,10,1250,0.6223271489143372
0,2,1,1341,0.6109476089477539
0,2,2,2089,0.5972571969032288
0,2,3,98,0.5746154189109802
0,2,4,2202,0.5660974383354187
0,2,5,2067,0.5514641404151917
0,2,6,2618,0.5460190773010254
0,2,7,1435,0.5331537127494812
0,2,8,551,0.5218833088874817
0,2,9,2678,0.5214506983757019
0,2,10,1359,0.520765483379364
0,3,1,1315,0.6090900897979736
0,3,2,2552,0.5871772170066833
0,3,3,2435,0.5729517340660095
0,3,4,2649,0.5607606768608093
0,3,5,2995,0.5579118132591248
0,3,6,2882,0.5395693182945251
0,3,7,1078,0.5314328074455261
0,3,8,2717,0.5306629538536072
0,3,9,1775,0.5297945141792297
0,3,10,629,0.5281398892402649
0,4,1,864,0.5756218433380127
0,4,2,95,0.5736071467399597
0,4,3,230,0.569119930267334
0,4,4,2258,0.5266662836074829
0,4,5,706,0.516909658908844
0,4,6,857,0.505462646484375
0,4,7,364,0.5029633641242981
0,4,8,1427,0.4988236427307129
0,4,9,1691,0.4864829182624817
0,4,10,756,0.4806579053401947
0,7,1,791,0.6053759455680847
0,7,2,1317,0.602541446685791
0,7,3,1580,0.5961402654647827
0,7,4,613,0.5884163975715637
0,7,5,2435,0.5876010060310364
0,7,6,38,0.581577718257904
0,7,7,2165,0.5745137929916382
0,7,8,599,0.574033796787262
0,7,9,1279,0.5738707780838013
0,7,10,551,0.5685262680053711
0,9,1,557,0.7109123468399048
0,9,2,2303,0.6880993843078613
0,9,3,38,0.6630039215087891
0,9,4,476,0.6440677642822266
0,9,5,2288,0.636656641960144
0,9,6,560,0.6363443732261658
0,9,7,2702,0.6264395117759705
0,9,8,1237,0.6246869564056396
0,9,9,1424,0.6221266388893127
0,9,10,2615,0.6184877753257751
0,11,1,598,0.5415332317352295
0,11,2,1642,0.5282911062240601
0,11,3,689,0.523870050907135
0,11,4,1569,0.521708071231842
0,11,5,2920,0.5157032608985901
0,11,6,2287,0.512787938117981
0,11,7,2073,0.5115872621536255
0,11,8,2556,0.5110872387886047
0,11,9,1142,0.5082993507385254
0,11,10,2143,0.5011728405952454
0,12,1,3016,0.5824800133705139
0,12,2,542,0.581303060054779
0,12,3,1055,0.5488147139549255
0,12,4,193,0.5397948026657104
0,12,5,1302,0.5367633104324341
0,12,6,205,0.5359830856323242
0,12,7,1754,0.5323081016540527
0,12,8,426,0.531891405582428
0,12,9,559,0.5317578315734863
0,12,10,1833,0.5317476987838745
0,13,1,2435,0.7221376895904541
0,13,2,1816,0.7204374670982361
0,13,3,1315,0.706154465675354
0,13,4,2995,0.6997948884963989
0,13,5,2649,0.6991462707519531
0,13,6,2552,0.6988853812217712
0,13,7,1194,0.6959906816482544
0,13,8,1340,0.6829777359962463
0,13,9,2536,0.6583267450332642
0,13,10,1881,0.6534181833267212
0,14,1,1650,0.7074511051177979
0,14,2,2435,0.6722813248634338
0,14,3,2920,0.657555878162384
0,14,4,2302,0.6465084552764893
0,14,5,1254,0.6458584666252136
0,14,6,655,0.6428777575492859
0,14,7,689,0.6411473751068115
0,14,8,2933,0.6391698122024536
0,14,9,2432,0.6384978890419006
0,14,10,1698,0.6329235434532166
0,15,1,2435,0.691172182559967
0,15,2,2995,0.6815453767776489
0,15,3,2649,0.6671535968780518
0,15,4,2313,0.6631731390953064
0,15,5,791,0.654717743396759
0,15,6,1775,0.6323589086532593
0,15,7,2796,0.629308819770813
0,15,8,2810,0.6260661482810974
0,15,9,1315,0.618333637714386
0,15,10,2474,0.6152113080024719
0,16,1,2533,0.5912682414054871
0,16,2,2702,0.586129367351532
0,16,3,2474,0.5826719999313354
0,16,4,2432,0.5738670825958252
0,16,5,634,0.5710329413414001
0,16,6,2137,0.5702423453330994
0,16,7,1358,0.5599433779716492
0,16,8,1698,0.5547537207603455
0,16,9,1650,0.5539780855178833
0,16,10,1775,0.5525144338607788
0,17,1,2796,0.7189250588417053
0,17,2,6,0.6754265427589417
0,17,3,599,0.67528235912323
0,17,4,38,0.6602911353111267
0,17,5,1279,0.6421883702278137
0,17,6,1724,0.6419824957847595
0,17,7,1127,0.6384230256080627
0,17,8,1428,0.6350308656692505
0,17,9,2353,0.6294487118721008
0,17,10,2702,0.6235186457633972
0,18,1,1816,0.6045154929161072
0,18,2,1946,0.5337717533111572
0,18,3,1525,0.5278494358062744
0,18,4,2901,0.5197255611419678
0,18,5,1858,0.5075276494026184
0,18,6,731,0.4937034547328949
0,18,7,1721,0.48567914962768555
0,18,8,2998,0.48322293162345886
0,18,9,2144,0.48309919238090515
0,18,10,2432,0.4758702218532562
0,21,1,1237,0.6725825071334839
0,21,2,2286,0.6677612066268921
0,21,3,38,0.6595519185066223
0,21,4,1302,0.6595102548599243
0,21,5,1415,0.6546851992607117
0,21,6,1111,0.6413165926933289
0,21,7,2165,0.6395764350891113
0,21,8,416,0.6331825256347656
0,21,9,509,0.6315864324569702
0,21,10,1465,0.6298221349716187
0,22,1,30,0.7577949166297913
0,22,2,613,0.7406435012817383
0,22,3,1580,0.7382979989051819
0,22,4,1317,0.724797248840332
0,22,5,1320,0.7246856689453125
0,22,6,551,0.7230654358863831
0,22,7,6,0.7197360396385193
0,22,8,703,0.718593180179596
0,22,9,1931,0.7159878611564636
0,22,10,132,0.7158739566802979
0,23,1,2367,0.6571130752563477
0,23,2,598,0.6518711447715759
0,23,3,1267,0.6441071033477783
0,23,4,556,0.642239511013031
0,23,5,215,0.6328424215316772
0,23,6,629,0.6313083171844482
0,23,7,2238,0.6295709609985352
0,23,8,1044,0.625872015953064
0,23,9,3016,0.6255805492401123
0,23,10,1142,0.6249490976333618
0,24,1,1946,0.6080387830734253
0,24,2,1966,0.5735173225402832
0,24,3,2219,0.5654948949813843
0,24,4,1151,0.5499861836433411
0,24,5,2848,0.5480132102966309
0,24,6,1201,0.5393674373626709
0,24,7,2144,0.5316866040229797
0,24,8,598,0.5279901027679443
0,24,9,767,0.525982141494751
0,24,10,215,0.5197301506996155
0,25,1,2882,0.6857558488845825
0,25,2,1151,0.6796334385871887
0,25,3,235,0.6783034801483154
0,25,4,1078,0.6708787679672241
0,25,5,2344,0.6667498350143433
0,25,6,756,0.6595764756202698
0,25,7,1340,0.6592196226119995
0,25,8,2995,0.6542076468467712
0,25,9,2989,0.6531133651733398
0,25,10,1176,0.6529461145401001
0,26,1,2536,0.7697929739952087
0,26,2,1341,0.7560883164405823
0,26,3,98,0.7302893996238708
0,26,4,1712,0.7287686467170715
0,26,5,2447,0.7276808619499207
0,26,6,2089,0.7197156548500061
0,26,7,2067,0.7152264714241028
0,26,8,1872,0.7082919478416443
0,26,9,2219,0.6926895380020142
0,26,10,2097,0.6900951862335205
0,27,1,601,0.6386224031448364
0,27,2,756,0.626606285572052
0,27,3,2727,0.602583646774292
0,27,4,2552,0.5983952283859253
0,27,5,1201,0.5981054902076721
0,27,6,1691,0.5958492159843445
0,27,7,2127,0.5910443067550659
0,27,8,2848,0.5884155631065369
0,27,9,598,0.5817376375198364
0,27,10,2285,0.5697447061538696
0,28,1,1417,0.7178292274475098
0,28,2,471,0.7020009756088257
0,28,3,2273,0.6860272288322449
0,28,4,1047,0.686014711856842
0,28,5,390,0.6859442591667175
0,28,6,2098,0.6848160624504089
0,28,7,1738,0.6815817952156067
0,28,8,1300,0.6761456727981567
0,28,9,530,0.6659621596336365
0,28,10,2914,0.6633694767951965
0,29,1,1882,0.639881432056427
0,29,2,2832,0.637787401676178
0,29,3,1435,0.6365768313407898
0,29,4,2668,0.6356286406517029
0,29,5,2994,0.6326747536659241
0,29,6,780,0.621887743473053
0,29,7,3037,0.6155100464820862
0,29,8,1588,0.6119503974914551
0,29,9,2367,0.6055441498756409
0,29,10,2210,0.6016260981559753
0,31,1,1816,0.7219579815864563
0,31,2,2901,0.6170777678489685
0,31,3,857,0.5811271667480469
0,31,4,2552,0.5803981423377991
0,31,5,364,0.5793663859367371
0,31,6,766,0.5774751901626587
0,31,7,756,0.5748543739318848
0,31,8,2144,0.5624420642852783
0,31,9,2053,0.5486157536506653
0,31,10,1340,0.5395988821983337
0,32,1,2963,0.6407638788223267
0,32,2,2121,0.638215184211731
0,32,3,773,0.6318855881690979
0,32,4,1438,0.6309042572975159
0,32,5,1927,0.6302717328071594
0,32,6,2583,0.6240101456642151
0,32,7,1600,0.6218023300170898
0,32,8,2546,0.6211238503456116
0,32,9,645,0.619744598865509
0,32,10,544,0.6136001944541931
0,33,1,60,0.7275058627128601
0,33,2,1091,0.7083009481430054
0,33,3,1812,0.6869845390319824
0,33,4,2951,0.6785083413124084
0,33,5,2740,0.670387327671051
0,33,6,2734,0.6695769429206848
0,33,7,1502,0.6624154448509216
0,33,8,1521,0.661320686340332
0,33,9,861,0.6553725600242615
0,33,10,3009,0.651283323764801
0,34,1,524,0.6603245735168457
0,34,2,993,0.6596684455871582
0,34,3,459,0.6590617299079895
0,34,4,1312,0.656126856803894
0,34,5,2844,0.6492422223091125
0,34,6,1682,0.6173745393753052
0,34,7,1223,0.6096211671829224
0,34,8,1278,0.6044551134109497
0,34,9,1837,0.6028124094009399
0,34,10,439,0.6024341583251953
0,35,1,2089,0.6798617839813232
