fold,user,rank,item,score
0,1,1,2405,9.050954818725586
0,1,2,2581,9.0446138381958
0,1,3,2352,8.83509635925293
0,1,4,2358,8.797368049621582
0,1,5,2111,8.720337867736816
0,1,6,205,8.586512565612793
0,1,7,1300,8.541040420532227
0,1,8,925,8.495450973510742
0,1,9,2998,8.438019752502441
0,1,10,1045,8.365617752075195
0,2,1,1341,7.131140232086182
0,2,2,2089,6.3419084548950195
0,2,3,1127,6.048061370849609
0,2,4,1747,6.002789497375488
0,2,5,835,5.858201503753662
0,2,6,2003,5.803144454956055
0,2,7,136,5.7684783935546875
0,2,8,480,5.746222496032715
0,2,9,2353,5.673757553100586
0,2,10,2618,5.63615608215332
0,3,1,629,7.369585037231445
0,3,2,1267,7.077579975128174
0,3,3,2143,7.068220138549805
0,3,4,634,7.058584690093994
0,3,5,364,6.901700973510742
0,3,6,534,6.837831020355225
0,3,7,1287,6.795416355133057
0,3,8,857,6.793520927429199
0,3,9,2159,6.748180389404297
0,3,10,1315,6.688138961791992
0,4,1,230,7.012873649597168
0,4,2,2258,6.1736955642700195
0,4,3,1427,5.950288772583008
0,4,4,2144,5.751357078552246
0,4,5,1691,5.745070934295654
0,4,6,95,5.69190788269043
0,4,7,706,5.621701240539551
0,4,8,857,5.6077070236206055
0,4,9,364,5.586432456970215
0,4,10,1650,5.511577606201172
0,7,1,2165,9.290263175964355
0,7,2,1730,9.198907852172852
0,7,3,1127,8.970592498779297
0,7,4,1650,8.789392471313477
0,7,5,3041,8.749932289123535
0,7,6,1428,8.744902610778809
0,7,7,599,8.72231674194336
0,7,8,1317,8.685955047607422
0,7,9,1737,8.510683059692383
0,7,10,6,8.482396125793457
0,9,1,2089,9.476318359375
0,9,2,1982,9.23193359375
0,9,3,1341,9.198965072631836
0,9,4,1435,9.094536781311035
0,9,5,2303,9.067936897277832
0,9,6,2353,9.019735336303711
0,9,7,1197,8.829957962036133
0,9,8,2238,8.786966323852539
0,9,9,599,8.775755882263184
0,9,10,629,8.769580841064453
0,11,1,1267,10.493049621582031
0,11,2,415,10.405043601989746
0,11,3,1287,10.244001388549805
0,11,4,1142,9.897865295410156
0,11,5,629,9.772762298583984
0,11,6,674,9.720724105834961
0,11,7,1645,9.713268280029297
0,11,8,2957,9.703254699707031
0,11,9,1044,9.672072410583496
0,11,10,2238,9.57448673248291
0,12,1,1267,9.680845260620117
0,12,2,415,9.647367477416992
0,12,3,1287,9.589269638061523
0,12,4,205,9.28796100616455
0,12,5,1708,9.089018821716309
0,12,6,629,9.021682739257812
0,12,7,3016,9.009915351867676
0,12,8,2405,8.993247985839844
0,12,9,674,8.990245819091797
0,12,10,1044,8.983226776123047
0,13,1,1650,10.08422565460205
0,13,2,2143,9.43787956237793
0,13,3,2556,9.364300727844238
0,13,4,364,9.347455978393555
0,13,5,861,9.26768970489502
0,13,6,857,9.266069412231445
0,13,7,634,9.256473541259766
0,13,8,2144,9.175219535827637
0,13,9,1104,9.124208450317383
0,13,10,692,9.095999717712402
0,14,1,2165,10.51616382598877
0,14,2,1650,10.322896957397461
0,14,3,1104,10.174934387207031
0,14,4,634,9.916850090026855
0,14,5,1708,9.912606239318848
0,14,6,611,9.87902545928955
0,14,7,674,9.876151084899902
0,14,8,1267,9.857378959655762
0,14,9,38,9.838186264038086
0,14,10,2073,9.831372261047363
0,15,1,2143,10.866257667541504
0,15,2,629,10.85006332397461
0,15,3,1315,10.762004852294922
0,15,4,1267,10.694371223449707
0,15,5,556,10.689374923706055
0,15,6,2521,10.519826889038086
0,15,7,1287,10.375557899475098
0,15,8,1142,10.324493408203125
0,15,9,2159,10.286808013916016
0,15,10,634,10.269944190979004
0,16,1,2165,9.818126678466797
0,16,2,2303,9.100776672363281
0,16,3,2474,9.017653465270996
0,16,4,38,8.831228256225586
0,16,5,557,8.617656707763672
0,16,6,1839,8.57975959777832
0,16,7,416,8.518340110778809
0,16,8,634,8.495217323303223
0,16,9,1580,8.430100440979004
0,16,10,2780,8.30948257446289
0,17,1,1127,9.05810260772705
0,17,2,1730,8.576166152954102
0,17,3,1982,8.496376037597656
0,17,4,1428,8.432771682739258
0,17,5,2165,8.31641674041748
0,17,6,2303,8.259916305541992
0,17,7,2003,8.241798400878906
0,17,8,2353,8.11117172241211
0,17,9,461,8.042695999145508
0,17,10,1839,8.032811164855957
0,18,1,1267,6.574489116668701
0,18,2,629,6.372156143188477
0,18,3,1525,6.335610389709473
0,18,4,1287,5.899139404296875
0,18,5,1645,5.839083671569824
0,18,6,39,5.739229202270508
0,18,7,415,5.701074600219727
0,18,8,674,5.64978551864624
0,18,9,2238,5.586673736572266
0,18,10,2144,5.575584888458252
0,21,1,2165,8.8731050491333
0,21,2,38,8.664061546325684
0,21,3,416,8.612846374511719
0,21,4,1465,8.512105941772461
0,21,5,2108,8.388496398925781
0,21,6,1111,8.382186889648438
0,21,7,1632,8.221967697143555
0,21,8,1287,8.216569900512695
0,21,9,509,8.158275604248047
0,21,10,1267,8.153121948242188
0,22,1,3042,9.817502975463867
0,22,2,461,9.687206268310547
0,22,3,6,9.490114212036133
0,22,4,1127,9.226038932800293
0,22,5,1484,9.03123664855957
0,22,6,2165,8.99139404296875
0,22,7,3041,8.920589447021484
0,22,8,948,8.868782997131348
0,22,9,1317,8.734148025512695
0,22,10,2353,8.70368766784668
0,23,1,1267,12.230636596679688
0,23,2,629,11.723721504211426
0,23,3,1287,11.67092514038086
0,23,4,415,11.278655052185059
0,23,5,1142,11.151693344116211
0,23,6,556,11.064223289489746
0,23,7,1645,10.923376083374023
0,23,8,1044,10.922228813171387
0,23,9,2238,10.910539627075195
0,23,10,2143,10.743895530700684
0,24,1,2285,7.746965408325195
0,24,2,2127,7.57377815246582
0,24,3,1691,7.50414514541626
