fold,user,rank,item,score
0,1,1,948,0.0
0,1,2,1142,0.0
0,1,3,2348,0.0
0,1,4,264,0.0
0,1,5,2147,0.0
0,1,6,1332,0.0
0,1,7,1586,0.0
0,1,8,1623,0.0
0,1,9,2426,0.0
0,1,10,2640,0.0
0,2,1,2727,0.05
0,2,2,2234,0.0
0,2,3,1621,0.0
0,2,4,2638,0.0
0,2,5,853,0.0
0,2,6,1944,0.0
0,2,7,1374,0.0
0,2,8,1702,0.0
0,2,9,2404,0.0
0,2,10,1093,0.0
0,3,1,316,0.05
0,3,2,1407,0.0
0,3,3,401,0.0
0,3,4,1018,0.0
0,3,5,1349,0.0
0,3,6,1138,0.0
0,3,7,2446,0.0
0,3,8,1465,0.0
0,3,9,701,0.0
0,3,10,1740,0.0
0,4,1,2073,0.05
0,4,2,1665,0.0
0,4,3,612,0.0
0,4,4,2472,0.0
0,4,5,2556,0.0
0,4,6,2449,0.0
0,4,7,2044,0.0
0,4,8,2400,0.0
0,4,9,23,0.0
0,4,10,2170,0.0
0,7,1,2095,0.0
0,7,2,2098,0.0
0,7,3,2629,0.0
0,7,4,1850,0.0
0,7,5,3058,0.0
0,7,6,932,0.0
0,7,7,95,0.0
0,7,8,1341,0.0
0,7,9,1713,0.0
0,7,10,1256,0.0
0,9,1,3018,0.2
0,9,2,1984,0.0
0,9,3,2952,0.0
0,9,4,1382,0.0
0,9,5,1403,0.0
0,9,6,2398,0.0
0,9,7,2431,0.0
0,9,8,2149,0.0
0,9,9,815,0.0
0,9,10,802,0.0
0,11,1,2306,0.1
0,11,2,2951,0.0
0,11,3,1283,0.0
0,11,4,70,0.0
0,11,5,903,0.0
0,11,6,1435,0.0
0,11,7,1781,0.0
0,11,8,2411,0.0
0,11,9,1815,0.0
0,11,10,1881,0.0
0,12,1,2448,0.0
0,12,2,1838,0.0
0,12,3,1702,0.0
0,12,4,365,0.0
0,12,5,2069,0.0
0,12,6,333,0.0
0,12,7,928,0.0
0,12,8,1114,0.0
0,12,9,872,0.0
0,12,10,31,0.0
0,13,1,2299,0.0
0,13,2,155,0.0
0,13,3,951,0.0
0,13,4,3058,0.0
0,13,5,975,0.0
0,13,6,1679,0.0
0,13,7,2548,0.0
0,13,8,1414,0.0
0,13,9,2932,0.0
0,13,10,625,0.0
0,14,1,174,0.0
0,14,2,612,0.0
0,14,3,2301,0.0
0,14,4,1171,0.0
0,14,5,1442,0.0
0,14,6,809,0.0
0,14,7,356,0.0
0,14,8,291,0.0
0,14,9,2034,0.0
0,14,10,1262,0.0
0,15,1,2583,0.1
0,15,2,1312,0.05
0,15,3,2877,0.05
0,15,4,985,0.0
0,15,5,137,0.0
0,15,6,1335,0.0
0,15,7,43,0.0
0,15,8,603,0.0
0,15,9,953,0.0
0,15,10,2387,0.0
0,16,1,993,0.05
0,16,2,1395,0.0
0,16,3,1568,0.0
0,16,4,1744,0.0
0,16,5,406,0.0
0,16,6,928,0.0
0,16,7,2997,0.0
0,16,8,2045,0.0
0,16,9,2196,0.0
0,16,10,1224,0.0
0,17,1,530,0.1
