fold,user,rank,item,score
0,1,1,948,0.5409868955612183
0,1,2,1142,0.4524875283241272
0,1,3,1332,-0.04776091128587723
0,1,4,1586,-0.14371222257614136
0,1,5,264,-0.17934921383857727
0,1,6,1754,-0.7273005843162537
0,1,7,2640,-1.1774702072143555
0,2,1,1621,1.261762261390686
0,2,2,2755,0.7694158554077148
0,2,3,2546,0.38767534494400024
0,2,4,1374,0.21405431628227234
0,2,5,1778,0.06508705019950867
0,2,6,853,-0.07087604701519012
0,2,7,510,-0.07103467732667923
0,2,8,2727,-0.19056396186351776
0,2,9,2234,-0.3798103928565979
0,3,1,316,2.4828929901123047
0,3,2,2780,0.5474478602409363
0,3,3,2899,0.24400946497917175
0,3,4,1018,-0.03195878118276596
0,3,5,701,-0.03519284725189209
0,3,6,655,-0.054586052894592285
0,3,7,1407,-0.42190343141555786
0,3,8,1465,-1.0177819728851318
0,4,1,2556,3.4449219703674316
0,4,2,2073,2.8434367179870605
0,4,3,1665,1.3754498958587646
0,4,4,2405,1.1358394622802734
0,4,5,1449,0.2401486039161682
0,4,6,612,0.20936521887779236
0,4,7,2044,-0.08217886090278625
0,4,8,2661,-0.12892559170722961
0,4,9,1413,-1.0609867572784424
0,4,10,852,-1.2882158756256104
0,7,1,2095,1.3371156454086304
0,7,2,2098,0.7081744074821472
0,7,3,1341,0.5843088626861572
0,7,4,2358,0.4992292821407318
0,7,5,95,0.49875056743621826
0,7,6,1067,0.1873968243598938
0,7,7,2441,0.12483513355255127
0,7,8,851,-0.2390514612197876
0,9,1,3018,2.235165596008301
0,9,2,1518,1.4624345302581787
0,9,3,2952,0.3921777606010437
0,9,4,2431,0.1081056147813797
0,9,5,1984,-0.07340163737535477
0,9,6,1247,-0.10090416669845581
0,9,7,2272,-1.662405014038086
0,11,1,1435,1.1522547006607056
0,11,2,3037,0.5480455756187439
0,11,3,1881,0.3979535400867462
0,11,4,2306,0.3792809545993805
0,11,5,1481,0.22652530670166016
0,11,6,2951,0.11508697271347046
0,11,7,1681,-0.2018730640411377
0,11,8,1781,-0.49152231216430664
0,11,9,1368,-1.1163498163223267
0,11,10,1062,-1.2782561779022217
0,12,1,2751,1.193131685256958
0,12,2,2448,0.1846778690814972
0,12,3,1838,0.10566787421703339
0,12,4,365,-0.04661409556865692
0,12,5,2914,-0.3190619945526123
0,12,6,333,-0.6673825979232788
0,12,7,31,-1.3789085149765015
0,13,1,2792,2.349485397338867
0,13,2,2299,0.34999334812164307
0,13,3,155,0.14232392609119415
0,13,4,2995,-0.020830295979976654
0,13,5,975,-0.052382051944732666
0,13,6,1917,-0.06921247392892838
0,13,7,1587,-0.9171320199966431
0,13,8,2961,-0.9605021476745605
0,13,9,2484,-1.1818983554840088
0,14,1,2097,1.153354525566101
0,14,2,2372,0.6022712588310242
0,14,3,174,0.3507421910762787
0,14,4,2742,0.19593694806098938
0,14,5,612,-0.07299143075942993
0,14,6,1442,-0.3719857931137085
0,14,7,356,-0.48106467723846436
0,14,8,1171,-0.4905228614807129
0,15,1,1312,2.334517478942871
0,15,2,2877,2.1826331615448
0,15,3,953,2.0824172496795654
0,15,4,1535,1.6662522554397583
0,15,5,861,1.4758472442626953
0,15,6,2989,1.1469441652297974
0,15,7,1335,1.0128341913223267
0,15,8,137,0.8655010461807251
0,15,9,2387,0.3417862057685852
0,15,10,327,0.0824756771326065
0,16,1,993,1.1496696472167969
0,16,2,1395,0.9496074914932251
0,16,3,2045,0.7933886051177979
0,16,4,1507,0.7133513689041138
0,16,5,364,-0.3059924244880676
0,16,6,2997,-0.37014123797416687
0,16,7,2270,-0.41486117243766785
0,16,8,1744,-0.43023282289505005
0,16,9,2196,-0.8364894986152649
0,16,10,261,-1.2566900253295898
0,17,1,530,0.870948314666748
0,17,2,2297,0.21567946672439575
0,17,3,80,-0.04814331978559494
0,17,4,20,-0.05287092179059982
0,17,5,1332,-0.06832696497440338
0,17,6,1287,-0.15797165036201477
0,17,7,512,-0.31352871656417847
0,17,8,1833,-0.4469529986381531
0,17,9,2396,-0.5297181010246277
0,17,10,2474,-0.7017465829849243
0,18,1,1202,3.58858060836792
0,18,2,364,0.7656817436218262
0,18,3,348,0.66932213306427
0,18,4,1308,0.4141886234283447
0,18,5,2476,0.3147980570793152
0,18,6,1265,0.2985973656177521
0,18,7,1550,0.09592151641845703
0,18,8,727,-0.22256484627723694
0,18,9,2669,-0.37035900354385376
0,21,1,1388,4.073056221008301
0,21,2,556,2.806121349334717
0,21,3,615,0.7786867618560791
0,21,4,1760,-0.07067909836769104
0,21,5,22,-0.6498327851295471
0,21,6,1517,-0.819831371307373
0,21,7,853,-1.1941604614257812
0,21,8,1978,-1.8013288974761963
0,22,1,2674,1.7831484079360962
0,22,2,2369,0.25024551153182983
0,22,3,2237,0.18445150554180145
0,22,4,1778,0.12592151761054993
0,22,5,2274,-0.48679959774017334
0,22,6,1651,-0.6389923691749573
0,22,7,2464,-0.655787467956543
0,22,8,2397,-2.378941059112549
0,23,1,969,2.3994200229644775
0,23,2,1638,2.2325868606567383
0,23,3,756,2.0462751388549805
0,23,4,2067,1.8250882625579834
0,23,5,2442,1.1391146183013916
0,23,6,1127,0.709237277507782
0,23,7,1335,0.707834780216217
0,23,8,2634,0.5903902053833008
0,23,9,916,-0.046087946742773056
0,23,10,563,-0.239812970161438
0,24,1,1792,0.5150160789489746
0,24,2,1836,0.05388683080673218
0,24,3,2559,-0.005027651786804199
0,24,4,2016,-0.07355637848377228
0,24,5,1547,-0.08412173390388489
0,24,6,1869,-0.09128893911838531
0,24,7,108,-0.1464107483625412
