user_id,age_group,populational_aff,gender,education,location_city,country,interest_tags
1,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
2,25 - 30,White/Caucasian,F,Master’s Degree,Viseu,Portugal,
3,18 - 24,White/Caucasian,F,Master’s Degree,Santarém,Portugal,
4,18 - 24,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,
5,41 - 50,Latino,M,Middle School,Santarém,Portugal,
6,25 - 30,White/Caucasian,M,Bachelor’s Degree,Kabul,Afghanistan,
7,41 - 50,White/Caucasian,F,High School,Santarém,Portugal,
8,51 - 60,Asian,F,High School,Lisboa,Portugal,
9,41 - 50,Latino,M,Bachelor’s Degree,Évora,Portugal,
10,61 - 70,White/Caucasian,F,High School,Setúbal,Portugal,
11,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
12,41 - 50,White/Caucasian,F,Bachelor’s Degree,Faro,Portugal,
13,31 - 40,White/Caucasian,F,High School,Setúbal,Portugal,
14,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
15,51 - 60,White/Caucasian,F,High School,Faro,Portugal,
16,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
17,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
18,61 - 70,Latino,F,Master’s Degree,Setúbal,Portugal,
19,41 - 50,White/Caucasian,F,High School,Flanders,Belgium,
20,41 - 50,White/Caucasian,F,Bachelor’s Degree,Santarém,Portugal,Outro
21,51 - 60,Latino,F,Bachelor’s Degree,Lisboa,Portugal,
22,31 - 40,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,Viajar
23,41 - 50,White/Caucasian,F,High School,Lisboa,Portugal,
24,31 - 40,White/Caucasian,F,High School,Setúbal,Portugal,
25,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
26,18 - 24,Asian,M,Primary School or Less,Eastern Cape,South Africa,
27,31 - 40,Hispanic,M,Bachelor’s Degree,Lisboa,Portugal,Colecionar Antiguidades
28,18 - 24,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,
29,41 - 50,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,Viajar
30,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,Estudar
31,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
32,18 - 24,Black,F,Bachelor’s Degree,Lisboa,Portugal,
33,41 - 50,White/Caucasian,F,High School,Lisboa,Portugal,
34,18 - 24,White/Caucasian,F,Master’s Degree,Santarém,Portugal,
